areacd,value
E01000001,10
E01000002,10
E01000003,6
E01000005,3
E01000006,5
E01000007,2
E01000008,2
E01000009,3
E01000010,3
E01000011,3
E01000012,2
E01000013,2
E01000014,2
E01000015,2
E01000016,2
E01000017,2
E01000018,2
E01000019,2
E01000020,2
E01000021,2
E01000022,3
E01000023,2
E01000024,3
E01000025,2
E01000027,2
E01000028,1
E01000029,5
E01000030,1
E01000031,5
E01000032,4
E01000033,2
E01000034,2
E01000035,3
E01000036,5
E01000037,4
E01000038,5
E01000039,4
E01000040,2
E01000041,3
E01000042,1
E01000043,2
E01000044,3
E01000045,2
E01000046,2
E01000048,1
E01000049,1
E01000050,3
E01000051,1
E01000052,3
E01000053,2
E01000054,2
E01000055,2
E01000056,2
E01000057,2
E01000058,2
E01000059,2
E01000060,2
E01000061,1
E01000062,3
E01000063,2
E01000064,2
E01000065,2
E01000066,4
E01000067,4
E01000068,4
E01000069,6
E01000070,5
E01000071,4
E01000072,2
E01000073,2
E01000074,2
E01000075,2
E01000076,2
E01000077,2
E01000078,2
E01000079,2
E01000080,2
E01000081,3
E01000082,3
E01000083,2
E01000084,2
E01000085,2
E01000086,2
E01000087,2
E01000088,3
E01000089,3
E01000090,3
E01000091,1
E01000092,3
E01000093,1
E01000094,3
E01000095,3
E01000096,1
E01000097,2
E01000098,2
E01000099,2
E01000100,2
E01000101,2
E01000102,2
E01000103,1
E01000104,1
E01000105,1
E01000106,1
E01000107,4
E01000108,3
E01000109,4
E01000110,5
E01000111,2
E01000112,4
E01000113,3
E01000114,3
E01000115,9
E01000116,7
E01000117,7
E01000118,6
E01000119,6
E01000120,7
E01000121,1
E01000122,7
E01000123,6
E01000124,3
E01000125,2
E01000126,2
E01000127,2
E01000128,3
E01000129,2
E01000130,2
E01000131,5
E01000132,3
E01000133,2
E01000134,3
E01000135,7
E01000136,9
E01000137,2
E01000138,3
E01000139,6
E01000140,5
E01000141,3
E01000142,4
E01000143,2
E01000144,6
E01000145,6
E01000146,7
E01000147,7
E01000148,2
E01000150,4
E01000151,1
E01000152,1
E01000153,1
E01000154,2
E01000155,4
E01000156,6
E01000157,5
E01000158,4
E01000159,5
E01000160,6
E01000161,5
E01000162,4
E01000163,2
E01000164,3
E01000165,5
E01000166,4
E01000167,3
E01000168,8
E01000169,6
E01000170,3
E01000171,3
E01000172,6
E01000173,6
E01000174,4
E01000175,7
E01000176,2
E01000177,8
E01000178,6
E01000179,8
E01000180,4
E01000181,8
E01000182,9
E01000183,6
E01000184,2
E01000185,2
E01000186,9
E01000187,4
E01000188,9
E01000189,1
E01000190,7
E01000191,8
E01000192,5
E01000193,6
E01000194,6
E01000195,2
E01000196,6
E01000197,7
E01000198,6
E01000199,8
E01000200,7
E01000201,9
E01000202,9
E01000203,5
E01000204,7
E01000205,8
E01000206,10
E01000207,9
E01000208,9
E01000209,8
E01000210,8
E01000211,5
E01000212,9
E01000213,10
E01000214,9
E01000215,6
E01000216,7
E01000217,8
E01000218,7
E01000219,5
E01000220,5
E01000221,1
E01000222,3
E01000223,2
E01000224,4
E01000225,8
E01000226,2
E01000227,6
E01000228,6
E01000229,3
E01000230,7
E01000231,5
E01000232,5
E01000233,6
E01000234,6
E01000235,3
E01000236,6
E01000237,8
E01000238,7
E01000239,5
E01000240,5
E01000241,7
E01000242,5
E01000243,6
E01000244,6
E01000245,3
E01000246,8
E01000247,7
E01000248,9
E01000249,10
E01000250,5
E01000251,4
E01000252,5
E01000253,9
E01000254,9
E01000255,4
E01000256,7
E01000257,3
E01000258,8
E01000259,5
E01000260,4
E01000261,8
E01000262,4
E01000263,10
E01000264,5
E01000265,3
E01000266,9
E01000267,6
E01000268,3
E01000269,7
E01000270,7
E01000271,8
